name,value,year,lastValue,rank
Georges Méliès,4,1910,0,1
Mary Pickford,2,1910,0,2
Jeanne d'Alcy,1,1910,0,3
Bleuette Bernon,1,1910,0,4
Elizabeth Tait,1,1910,0,5
Georges Méliès,3,1911,0,1
Mary Pickford,2,1911,1,2
Owen Moore,2,1911,0,3
Jeanne d'Alcy,1,1911,2,4
Bleuette Bernon,1,1911,3,5
Georges Méliès,2,1912,0,1
Mary Pickford,2,1912,1,2
Owen Moore,2,1912,2,3
Elizabeth Tait,1,1912,0,4
John Tait,1,1912,0,5
Georges Méliès,2,1913,0,1
Mary Pickford,2,1913,1,2
Robert Harron,2,1913,0,3
Owen Moore,2,1913,2,4
Elizabeth Tait,1,1913,3,5
René Navarre,3,1914,0,1
Edmund Breon,3,1914,0,2
Georges Melchior,3,1914,0,3
Renée Carl,3,1914,0,4
Jane Faber,3,1914,0,5
René Navarre,5,1915,0,1
Edmund Breon,5,1915,1,2
Georges Melchior,5,1915,2,3
Jane Faber,5,1915,4,4
Renée Carl,4,1915,3,5
Robert Harron,5,1916,0,1
René Navarre,5,1916,0,2
Edmund Breon,5,1916,1,3
Georges Melchior,5,1916,2,4
Jane Faber,5,1916,3,5
Robert Harron,5,1917,0,1
René Navarre,5,1917,1,2
Edmund Breon,5,1917,2,3
Georges Melchior,5,1917,3,4
Jane Faber,5,1917,4,5
Robert Harron,5,1918,0,1
René Navarre,5,1918,1,2
Edmund Breon,5,1918,2,3
Georges Melchior,5,1918,3,4
Jane Faber,5,1918,4,5
Robert Harron,5,1919,0,1
René Navarre,5,1919,1,2
Edmund Breon,5,1919,2,3
Georges Melchior,5,1919,3,4
Jane Faber,5,1919,4,5
René Navarre,5,1920,1,1
Edmund Breon,5,1920,2,2
Georges Melchior,5,1920,3,3
Jane Faber,5,1920,4,4
Robert Harron,4,1920,0,5
René Navarre,5,1921,0,1
Edmund Breon,5,1921,1,2
Georges Melchior,5,1921,2,3
Jane Faber,5,1921,3,4
Robert Harron,4,1921,4,5
René Navarre,5,1922,0,1
Edmund Breon,5,1922,1,2
Georges Melchior,5,1922,2,3
Jane Faber,5,1922,3,4
Robert Harron,4,1922,4,5
René Navarre,5,1923,0,1
Edmund Breon,5,1923,1,2
Georges Melchior,5,1923,2,3
Jane Faber,5,1923,3,4
Renée Carl,4,1923,0,5
Rudolf Klein-Rogge,4,1924,0,1
Ralph Lewis,3,1924,0,2
Robert Harron,3,1924,0,3
Raymond Hatton,3,1924,0,4
Georg John,3,1924,0,5
Conrad Veidt,4,1925,0,1
Georg John,4,1925,4,2
Rudolf Klein-Rogge,4,1925,0,3
Lon Chaney,4,1925,0,4
Raymond Hatton,3,1925,3,5
Lon Chaney,6,1926,3,1
Georg John,5,1926,1,2
Conrad Veidt,4,1926,0,3
Rudolf Klein-Rogge,4,1926,2,4
Werner Krauss,3,1926,0,5
Lon Chaney,7,1927,0,1
Georg John,5,1927,1,2
John George,5,1927,0,3
Conrad Veidt,4,1927,2,4
Werner Krauss,4,1927,4,5
Lon Chaney,9,1928,0,1
John George,6,1928,2,2
Georg John,5,1928,1,3
Nigel De Brulier,5,1928,0,4
Conrad Veidt,4,1928,3,5
Lon Chaney,10,1929,0,1
John George,7,1929,1,2
Georg John,6,1929,2,3
Nigel De Brulier,6,1929,3,4
Conrad Veidt,5,1929,4,5
Lon Chaney,10,1930,0,1
John George,7,1930,1,2
Nigel De Brulier,6,1930,3,3
Rudolf Klein-Rogge,5,1930,0,4
Georg John,5,1930,2,5
Lon Chaney,10,1931,0,1
John George,7,1931,1,2
Nigel De Brulier,6,1931,2,3
Georg John,5,1931,4,4
Rudolf Klein-Rogge,4,1931,3,5
Lon Chaney,9,1932,0,1
John George,8,1932,1,2
Boris Karloff,8,1932,0,3
Gustav von Seyffertitz,5,1932,0,4
Nigel De Brulier,5,1932,2,5
Boris Karloff,12,1933,2,1
John George,10,1933,1,2
Lon Chaney,9,1933,0,3
Agostino Borgato,7,1933,0,4
Nigel De Brulier,6,1933,4,5
Boris Karloff,13,1934,0,1
John George,9,1934,1,2
Lon Chaney,8,1934,2,3
George E. Stone,8,1934,0,4
Walter Huston,8,1934,0,5
Boris Karloff,15,1935,0,1
Fay Wray,10,1935,0,2
John George,9,1935,1,3
George E. Stone,8,1935,3,4
Gary Cooper,8,1935,0,5
Boris Karloff,18,1936,0,1
John George,12,1936,2,2
Bela Lugosi,11,1936,0,3
Fay Wray,10,1936,1,4
Robert Barrat,9,1936,0,5
Boris Karloff,21,1937,0,1
Bela Lugosi,12,1937,2,2
John George,11,1937,1,3
Gary Cooper,10,1937,0,4
Fay Wray,10,1937,3,5
